Date : 2024-07-09 11:37:06
Directory : c:\Users\andre\OneDrive\Documents\Entrega Final
Total : 92 files,  18828 codes, 382 comments, 626 blanks, all 19836 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          5 |     14,384 |          0 |          4 |     14,388 |
| JavaScript JSX |         37 |      2,187 |         26 |        285 |      2,498 |
| JavaScript     |         41 |      1,991 |        345 |        286 |      2,622 |
| CSS            |          3 |        237 |          0 |         39 |        276 |
| HTML           |          1 |         13 |          1 |          3 |         17 |
| Properties     |          2 |          9 |         10 |          5 |         24 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
| XML            |          2 |          2 |          0 |          0 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         92 |     18,828 |        382 |        626 |     19,836 |
| . (Files)                                                                                                                 |          2 |         39 |         10 |          4 |         53 |
| BACKEND-INSTRUMENTACION                                                                                                   |         39 |      3,818 |        342 |        263 |      4,423 |
| BACKEND-INSTRUMENTACION (Files)                                                                                           |          3 |      1,929 |          0 |          3 |      1,932 |
| BACKEND-INSTRUMENTACION\src                                                                                               |         36 |      1,889 |        342 |        260 |      2,491 |
| BACKEND-INSTRUMENTACION\src (Files)                                                                                       |          1 |         27 |          2 |          8 |         37 |
| BACKEND-INSTRUMENTACION\src\controllers                                                                                   |          7 |        669 |          3 |         64 |        736 |
| BACKEND-INSTRUMENTACION\src\database                                                                                      |          7 |        384 |          5 |         46 |        435 |
| BACKEND-INSTRUMENTACION\src\middleware                                                                                    |          1 |         23 |          0 |          4 |         27 |
| BACKEND-INSTRUMENTACION\src\models                                                                                        |          6 |        364 |          3 |         40 |        407 |
| BACKEND-INSTRUMENTACION\src\service                                                                                       |          5 |        289 |          4 |         40 |        333 |
| BACKEND-INSTRUMENTACION\src\v1                                                                                            |          9 |        133 |        325 |         58 |        516 |
| BACKEND-INSTRUMENTACION\src\v1 (Files)                                                                                    |          2 |         39 |          5 |          8 |         52 |
| BACKEND-INSTRUMENTACION\src\v1\routes                                                                                     |          7 |         94 |        320 |         50 |        464 |
| Frontend                                                                                                                  |         51 |     14,971 |         30 |        359 |     15,360 |
| Frontend (Files)                                                                                                          |          7 |     12,475 |          2 |         13 |     12,490 |
| Frontend\public                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| Frontend\src                                                                                                              |         42 |      2,488 |         28 |        343 |      2,859 |
| Frontend\src (Files)                                                                                                      |          5 |        226 |          3 |         35 |        264 |
| Frontend\src\Hooks                                                                                                        |          3 |         77 |          5 |         17 |         99 |
| Frontend\src\Mui                                                                                                          |          1 |         88 |          2 |          4 |         94 |
| Frontend\src\assets                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| Frontend\src\components                                                                                                   |          6 |        497 |          3 |         46 |        546 |
| Frontend\src\components (Files)                                                                                           |          1 |         33 |          0 |          5 |         38 |
| Frontend\src\components\Alerts                                                                                            |          1 |         32 |          0 |          5 |         37 |
| Frontend\src\components\Avatar                                                                                            |          1 |         31 |          0 |          9 |         40 |
| Frontend\src\components\appbar                                                                                            |          1 |        216 |          1 |         14 |        231 |
| Frontend\src\components\sideNav                                                                                           |          1 |        185 |          2 |         12 |        199 |
| Frontend\src\components\styled                                                                                            |          1 |          0 |          0 |          1 |          1 |
| Frontend\src\layouts                                                                                                      |         22 |      1,367 |         15 |        197 |      1,579 |
| Frontend\src\layouts\Rol                                                                                                  |         18 |        958 |          7 |        142 |      1,107 |
| Frontend\src\layouts\Rol\Docente                                                                                          |         18 |        958 |          7 |        142 |      1,107 |
| Frontend\src\layouts\Rol\Docente (Files)                                                                                  |          1 |         24 |          0 |          5 |         29 |
| Frontend\src\layouts\Rol\Docente\Notas                                                                                    |          7 |        440 |          1 |         49 |        490 |
| Frontend\src\layouts\Rol\Docente\Notas (Files)                                                                            |          2 |         50 |          0 |         11 |         61 |
| Frontend\src\layouts\Rol\Docente\Notas\components                                                                         |          5 |        390 |          1 |         38 |        429 |
| Frontend\src\layouts\Rol\Docente\crear                                                                                    |          2 |         78 |          0 |         23 |        101 |
| Frontend\src\layouts\Rol\Docente\crear (Files)                                                                            |          1 |         24 |          0 |          6 |         30 |
| Frontend\src\layouts\Rol\Docente\crear\components                                                                         |          1 |         54 |          0 |         17 |         71 |
| Frontend\src\layouts\Rol\Docente\dashboard                                                                                |          1 |         19 |          2 |          5 |         26 |
| Frontend\src\layouts\Rol\Docente\docentes                                                                                 |          4 |        371 |          2 |         51 |        424 |
